,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,DAILY_YIELD
45,26.53805245722739,36.08461742218231,0.3394085453393864,6012.0
47,26.260068479853487,37.29405107216118,0.4216867084861565,6750.0
48,27.166873286813182,40.150425865201456,0.4744418160667904,8196.0
50,26.105285082600737,36.31472878983517,0.3755168842980329,5724.25
51,26.750387714106026,39.85482460098832,0.4604221293001194,8239.0
52,27.37878858492639,40.18034011169398,0.4776514474694416,8495.0
53,27.871142988679253,40.50019721617252,0.4670693079321634,8189.0
54,26.572746956959712,36.164621774450566,0.36985176897641736,6598.0
55,25.822457678754567,33.455246091666666,0.2987251085254719,4991.0
56,25.42447148077268,33.1533057211141,0.3075764350852201,5903.0
57,26.36242213378257,38.731893957681926,0.4790444257828957,8654.0
58,25.50280010727764,35.75254810296494,0.3986456853204744,7487.0
59,26.471948133862433,36.39943160361551,0.3660889946185535,6846.0
60,26.451856226415075,36.058201727762814,0.3392287826957191,6318.0
61,25.5512210287834,34.16393440621942,0.3267021648506515,6034.0
62,28.564478195329666,38.61684165677657,0.35868634965505153,6656.0
63,29.494486331593407,42.02868699734433,0.4409880415197766,7794.0
64,25.14405622564103,33.57360166694139,0.2935862516426643,5435.0
67,28.48899484016173,40.469185906468994,0.41734193406100667,7315.0
68,29.362050044752184,45.2787840813897,0.5327888079030094,8652.0
69,29.77591632246181,42.970462607457314,0.4705128346086936,8300.0
70,29.75759639342041,44.27708854611927,0.5138370865080109,9068.0
72,29.34052075396825,40.68582583292181,0.38032530094032735,6740.0
73,28.05908833514286,44.41899472519048,0.4959132248282057,8210.0
74,26.766419354304038,38.80223721904761,0.42067411862465415,7299.0
75,26.96867871804029,37.23067778296702,0.33895111748448986,5816.0
76,26.53805245722739,36.08461742218231,0.3394085453393864,5965.0
78,26.260068479853487,37.29405107216118,0.4216867084861565,7874.0
79,27.166873286813182,40.150425865201456,0.4744418160667904,8215.0
81,26.105285082600737,36.31472878983517,0.3755168842980329,6496.0
82,26.750387714106026,39.85482460098832,0.4604221293001194,8242.0
83,27.37878858492639,40.18034011169398,0.4776514474694416,8509.0
84,27.871142988679253,40.50019721617252,0.4670693079321634,8186.0
85,26.572746956959712,36.164621774450566,0.36985176897641736,6550.0
86,25.822457678754567,33.455246091666666,0.2987251085254719,5717.0
87,25.42447148077268,33.1533057211141,0.3075764350852201,5900.0
88,26.36242213378257,38.731893957681926,0.4790444257828957,8633.0
89,25.50280010727764,35.75254810296494,0.3986456853204744,7504.0
90,26.471948133862433,36.39943160361551,0.3660889946185535,6819.0
91,26.451856226415075,36.058201727762814,0.3392287826957191,6331.0
92,25.5512210287834,34.16393440621942,0.3267021648506515,6052.0
93,28.564478195329666,38.61684165677657,0.35868634965505153,6461.0
94,29.494486331593407,42.02868699734433,0.4409880415197766,7526.0
95,25.14405622564103,33.57360166694139,0.2935862516426643,5309.0
96,27.403738549416914,37.733532126554906,0.3682624794537422,6836.0
98,28.48899484016173,40.469185906468994,0.41734193406100667,7135.0
99,29.362050044752184,45.2787840813897,0.5327888079030094,8450.0
100,29.77591632246181,42.970462607457314,0.4705128346086936,8021.0
101,29.75759639342041,44.27708854611927,0.5138370865080109,8779.0
103,29.34052075396825,40.68582583292181,0.38032530094032735,6638.0
104,28.05908833514286,44.41899472519048,0.4959132248282057,8007.0
105,26.766419354304038,38.80223721904761,0.42067411862465415,7143.0
106,26.96867871804029,37.23067778296702,0.33895111748448986,5843.0
107,26.53805245722739,36.08461742218231,0.3394085453393864,5803.0
109,26.260068479853487,37.29405107216118,0.4216867084861565,7749.0
110,27.166873286813182,40.150425865201456,0.4744418160667904,7999.0
112,26.105285082600737,36.31472878983517,0.3755168842980329,6317.0
113,26.750387714106026,39.85482460098832,0.4604221293001194,8053.0
114,27.37878858492639,40.18034011169398,0.4776514474694416,8283.0
115,27.871142988679253,40.50019721617252,0.4670693079321634,7936.0
116,26.572746956959712,36.164621774450566,0.36985176897641736,6362.0
117,25.822457678754567,33.455246091666666,0.2987251085254719,5573.0
118,25.42447148077268,33.1533057211141,0.3075764350852201,5753.0
119,26.36242213378257,38.731893957681926,0.4790444257828957,8435.0
120,25.50280010727764,35.75254810296494,0.3986456853204744,7306.0
121,26.471948133862433,36.39943160361551,0.3660889946185535,6641.0
122,26.451856226415075,36.058201727762814,0.3392287826957191,6166.0
123,25.5512210287834,34.16393440621942,0.3267021648506515,5856.0
124,28.564478195329666,38.61684165677657,0.35868634965505153,4704.285714
125,29.494486331593407,42.02868699734433,0.4409880415197766,6519.428571
126,25.14405622564103,33.57360166694139,0.2935862516426643,4098.0
127,27.403738549416914,37.733532126554906,0.3682624794537422,5005.0
128,29.383560797255026,45.3354274795061,0.5353675078003755,5709.285714
130,29.362050044752184,45.2787840813897,0.5327888079030094,5427.5
131,29.77591632246181,42.970462607457314,0.4705128346086936,5753.571429
132,29.75759639342041,44.27708854611927,0.5138370865080109,6718.5
136,26.766419354304038,38.80223721904761,0.42067411862465415,4595.0
137,26.96867871804029,37.23067778296702,0.33895111748448986,4425.0
138,26.53805245722739,36.08461742218231,0.3394085453393864,3745.0
139,25.868719653728657,36.706711160736745,0.4053518750245385,4754.375
140,26.260068479853487,37.29405107216118,0.4216867084861565,5721.428571
142,26.602369914914647,39.037956016891286,0.43759734320472143,4950.0
144,26.750387714106026,39.85482460098832,0.4604221293001194,4401.25
145,27.37878858492639,40.18034011169398,0.4776514474694416,6435.0
