(kW),12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM
2/5/2019,135.8564,137.8575,138.8057,145.1819,141.2787,140.2286,141.5706,139.8778,145.7138,139.2383,131.2141,132.7797,129.3528,133.6597,139.2505,136.1456,143.5951,146.9153,147.2643,150.0124,149.3264,141.6053,150.0329,148.2734
2/6/2019,144.5693,142.1281,148.09,142.2103,139.0151,138.7401,139.5753,138.3726,139.8148,132.9532,142.4636,132.8295,133.9978,134.6362,138.8545,140.2773,142.5354,146.4102,149.1166,147.095,151.5058,141.7034,149.6595,143.1913
2/7/2019,150.6763,142.4558,138.7473,136.2528,137.2762,140.9151,141.9917,136.2847,142.6863,135.6133,145.5536,144.2179,137.1039,136.1405,139.7843,143.5299,142.1576,149.9452,149.1593,150.3845,153.0559,149.4676,150.8578,148.2269
2/8/2019,149.8954,153.115,144.0549,144.8056,145.2207,136.6737,146.0439,142.6958,141.5157,134.2002,126.313,123.9897,124.1711,135.6856,136.9508,139.1071,141.6035,140.7505,142.6486,150.2543,144.6499,152.8075,146.3408,149.8401
2/9/2019,148.6384,157.0824,144.4535,148.5409,145.3511,144.0288,148.0933,146.2744,141.5793,144.3209,135.4393,125.3932,127.426,135.2234,139.0125,153.7893,149.2217,150.1875,140.5822,153.8327,141.5689,138.3006,159.1824,143.0169
2/10/2019,153.2761,146.1789,146.5051,145.6212,145.6149,148.0299,148.7828,146.3338,147.9672,145.9691,130.9038,136.1466,135.4638,124.426,147.7582,142.0392,145.3842,143.364,144.1803,138.432,146.8212,139.0748,140.1828,139.5171
2/11/2019,139.3477,140.6236,137.2989,140.567,141.3813,142.6703,138.3099,134.7382,133.4882,135.2127,132.9184,132.8329,122.2991,132.1758,138.7536,133.02,145.5044,141.1151,148.0242,142.9462,136.749,143.4693,147.2916,144.0476
2/12/2019,146.9056,145.721,146.2508,132.5373,134.5688,132.6916,129.8058,140.0945,135.6342,132.5481,130.4605,121.4487,121.8025,123.7336,133.4102,141.3409,144.0899,148.1348,149.08,150.2742,147.2862,148.2782,147.9414,148.3071
2/13/2019,146.5705,146.4746,146.0193,139.618,150.9861,140.6429,140.5219,143.1397,141.2585,141.3464,125.9047,135.9459,135.1559,134.2671,132.7632,140.5202,145.9783,147.8583,150.8555,149.4837,150.3316,150.7204,159.5866,161.7375
2/14/2019,156.01,154.199,146.41,142.6019,146.3697,146.8676,146.1898,142.6366,133.8907,133.9712,127.5856,129.4881,127.3251,126.6687,143.7114,144.8065,146.8221,152.3618,147.8658,151.0903,153.6364,141.1978,149.4388,160.1269
2/15/2019,150.2975,158.3789,153.3838,149.5618,143.002,153.2961,144.1122,148.3627,144.2646,144.8792,128.9934,130.8086,130.3965,140.5902,137.3053,135.6552,144.0654,142.713,140.0087,137.8025,136.0181,135.059,139.2266,135.9271
2/16/2019,145.1719,137.5291,132.1838,140.7057,137.5651,136.1047,138.4804,138.6939,146.7263,138.7996,134.4471,132.3209,135.5996,134.7712,140.5592,139.0146,139.3024,140.6437,138.5927,130.5549,132.9052,140.8963,138.099,134.51
2/17/2019,130.2584,129.3543,132.535,129.2241,145.2243,138.5478,133.7899,147.1489,134.0151,130.9442,133.978,128.1357,136.1395,137.5528,139.9279,133.7144,132.882,142.9118,142.7203,146.3269,128.146,126.5902,138.9933,144.2706
2/18/2019,142.5538,135.6817,143.5562,135.8431,137.8888,125.6082,131.9521,130.7539,131.878,130.3523,128.4977,124.4845,133.9785,128.9083,135.6766,134.8589,150.3262,146.5143,143.3526,144.5145,149.2462,149.1591,147.8459,160.1656
2/19/2019,157.7848,157.3732,144.8358,145.2686,146.0447,139.5768,144.7871,144.6271,141.4669,134.5446,136.1836,135.0764,130.2279,136.2878,139.9411,135.6038,150.0405,152.4875,142.8121,148.8262,140.5891,142.4409,143.9975,153.0844
2/20/2019,144.5665,147.6096,144.4907,144.798,143.1045,143.3353,141.8638,144.0822,144.5366,140.4734,135.3304,133.8281,133.4359,135.4493,140.4921,142.1196,146.1021,147.66,149.8057,148.1067,146.4977,141.8283,141.3905,141.8263
2/21/2019,141.9167,139.1435,131.1054,140.371,135.8282,133.6159,135.9302,129.5277,133.4491,123.1027,122.7759,124.5612,125.2044,123.5769,134.2744,140.1931,146.9363,132.6757,134.4974,134.7732,143.6097,142.4602,131.3587,141.1202
2/22/2019,136.7529,137.8986,135.8941,138.2853,129.1305,136.8209,136.5979,148.1449,137.695,138.723,133.387,132.7374,124.6767,132.2524,138.7795,131.3884,134.0293,133.4829,139.9911,135.0883,143.2649,140.7087,141.1666,140.1665
2/23/2019,142.266,144.5324,133.1486,129.4053,128.1085,127.6418,128.7862,130.6882,129.3212,127.356,123.2001,121.7219,130.069,130.1136,129.0248,129.1321,127.2575,129.2975,130.453,129.0334,129.6931,131.8568,136.3762,141.3688
2/24/2019,137.9456,134.8693,132.3007,134.4492,132.5735,130.4895,130.9854,130.8715,129.603,126.2627,126.2461,126.524,126.553,121.6267,131.8947,138.3145,124.9604,134.0807,128.6664,139.1252,141.2142,142.1622,140.565,138.3486
2/25/2019,148.7248,142.4648,142.7549,143.7122,146.9952,140.2984,145.5642,145.5965,145.688,128.5444,135.106,122.5255,136.6793,118.7305,145.8816,145.5038,144.6641,148.1731,148.39,158.812,149.3746,158.9494,150.2732,165.0524
2/26/2019,159.4082,156.9866,152.6669,149.4005,142.3711,150.9435,142.1355,151.8391,140.6329,141.3895,127.5958,128.5021,130.4319,126.0521,141.5562,135.978,144.5377,146.1661,141.173,155.2692,150.5334,147.1732,153.2367,155.6547
2/27/2019,154.919,148.6356,142.938,148.032,147.6088,149.2024,144.5511,144.6506,148.064,137.5441,133.1449,136.0404,132.3191,123.1877,130.2609,128.2514,131.4344,141.3251,146.5387,145.5633,151.2944,148.755,146.5197,145.2644
2/28/2019,142.8713,145.4119,140.7583,138.9607,137.8528,142.6421,137.719,136.7081,136.7227,143.3146,122.9135,133.3396,123.4064,133.8586,138.2952,141.8799,148.4589,144.1846,143.7025,145.741,148.2407,155.382,147.9923,150.5979
3/1/2019,144.5919,142.5679,141.8278,138.1889,144.536,147.5698,145.1951,148.6834,137.4335,139.2245,121.9954,122.8058,124.1603,121.5998,135.4633,136.089,135.6368,138.8694,137.1255,139.7365,142.9492,140.8966,147.1242,144.2721
3/2/2019,146.6822,142.4013,147.1789,148.5645,145.1356,148.267,139.8342,148.2139,140.2175,130.8163,131.3033,134.7737,131.7701,123.4031,129.7002,129.4707,133.203,125.4663,138.8631,140.4852,136.8248,142.6888,134.4315,135.3986
3/3/2019,129.03,132.1413,128.7799,135.6188,129.3223,137.2333,130.3659,138.6132,129.8767,131.6694,125.7723,132.1173,133.3242,122.58,136.2066,129.9604,131.2983,129.083,141.1994,128.7835,138.1233,127.3763,127.1289,134.8817
3/4/2019,139.2628,137.3223,136.0766,139.3973,137.7744,129.4799,134.3853,133.407,134.9145,132.1604,124.2937,127.3715,136.3006,134.1843,130.9819,134.7473,141.6718,148.1698,149.327,146.6961,156.021,145.9384,147.3626,150.2499
3/5/2019,148.9392,151.9379,150.1662,143.4239,139.8508,147.815,152.5405,141.4398,148.407,145.2589,140.9471,138.4334,139.6727,137.939,134.9646,156.1715,152.4884,151.6092,157.858,161.431,162.1742,163.7341,153.6869,151.9305
3/6/2019,151.7973,151.5076,146.108,142.3789,143.6713,144.0149,147.9318,146.5862,147.813,148.2895,133.0426,140.9299,139.6896,139.9091,141.5144,155.4012,155.5717,150.4583,161.584,162.2744,166.3225,161.6674,161.6924,166.6567
3/7/2019,155.1188,167.892,156.6489,150.8745,147.9845,144.1104,148.914,158.0461,156.562,139.0172,127.9249,141.4359,136.4359,139.4334,139.6378,149.3104,146.9039,156.4701,151.7266,153.9416,153.3978,150.3878,156.0805,146.2288
3/8/2019,147.8119,145.0854,152.7284,146.0926,152.7601,150.9815,148.3921,160.2882,154.618,133.1995,133.5656,133.1996,132.2297,134.104,137.3105,139.9601,141.4937,148.619,147.3477,148.0698,142.1438,139.0745,136.9809,133.3683
3/9/2019,140.4072,150.1584,134.3421,138.1811,134.4301,141.1073,127.2631,133.6759,137.5935,132.6581,128.8407,125.4998,126.1242,124.6374,130.4133,128.1757,129.5081,137.6429,129.1371,125.511,130.4677,128.8402,125.6119,123.7282
3/10/2019,125.6633,133.1281,134.0813,125.7307,137.4511,123.4559,135.249,126.1803,134.9433,121.0584,117.8429,119.8071,128.3416,126.6116,133.7637,133.8805,133.9888,136.843,136.1688,137.5637,135.3263,137.0771,137.0473,134.8447
