Month,Day,DNI Mean,DNI Max,DNI Min,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Weekday,Square Feet,Type,Power Consumption
11,1,611.0,903,159,3.9090909090909083,0.8727272727272729,210.45454545454547,60.038181818181826,4.027272727272727,997.1818181818181,0,66000,2,6518
11,2,313.1818181818182,938,2,5.045454545454545,0.7545454545454546,281.45454545454544,68.93818181818182,5.381818181818182,995.6363636363636,1,66000,2,6399
11,3,446.45454545454544,912,13,4.445454545454545,1.1090909090909091,203.27272727272728,61.14818181818182,7.509090909090909,993.0909090909091,1,66000,2,6259
11,4,97.72727272727273,382,5,3.4818181818181824,1.5636363636363635,234.9090909090909,80.92272727272729,8.136363636363637,989.4545454545455,0,66000,2,6234
11,5,697.7272727272727,919,108,3.8272727272727276,0.7454545454545454,288.1818181818182,60.4,6.327272727272727,999.6363636363636,0,66000,2,6221
11,6,524.4545454545455,887,6,4.500000000000001,1.3818181818181816,186.0,60.33454545454544,8.518181818181818,998.0909090909091,0,66000,2,6253
11,7,479.8,991,4,4.680000000000001,0.51,344.2,50.533,0.52,1002.6,0,66000,2,6187
11,8,377.27272727272725,773,65,1.1545454545454545,0.43636363636363645,169.0909090909091,52.03181818181818,-2.5727272727272728,1004.2727272727273,0,66000,2,6211
11,9,456.72727272727275,758,62,4.763636363636364,1.4000000000000001,209.0,56.33818181818182,4.872727272727272,989.7272727272727,1,66000,2,6287
11,10,435.27272727272725,829,14,1.3545454545454547,1.7545454545454546,181.1818181818182,83.94272727272727,6.927272727272728,988.0,1,66000,2,6333
11,11,5.0,12,1,7.1499999999999995,1.2750000000000001,347.25,78.15249999999999,-3.325,996.75,0,66000,2,6249
11,12,430.0,850,34,4.045454545454546,0.21818181818181817,330.1818181818182,47.58,-7.6,1005.7272727272727,0,66000,2,6272
11,13,412.8181818181818,802,26,5.2727272727272725,0.6181818181818182,186.36363636363637,56.68636363636363,-4.081818181818182,995.8181818181819,0,66000,2,6177
11,14,409.6,903,1,2.21,0.8400000000000001,301.9,74.087,0.51,996.9,0,66000,2,6027
11,15,722.6,907,105,2.12,0.76,301.9,69.404,1.5100000000000002,1001.0,0,66000,2,6046
11,16,587.7,887,87,2.7800000000000002,0.9100000000000001,95.5,74.424,2.78,999.4,1,66000,2,6284
