Year,Month,Day,DNI Mean,DNI Max,DNI Min,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temp Max,Temp Min,Temperature,Pressure,Power Consumption,Weekday,University Name,Building Name,Square Feet,Type
2019,7,2,636.9666666666667,942,48,3.793333333333334,1.5500000000000007,279.1666666666667,69.73233333333334,20.9,12.0,17.816666666666666,994.8666666666667,828.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,3,746.9,948,70,3.1866666666666665,1.3133333333333335,278.93333333333334,66.15833333333333,22.5,11.8,18.430000000000003,993.2,599.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,4,663.3,925,55,2.136666666666667,1.433333333333333,261.4,65.57966666666668,23.4,11.7,19.376666666666665,993.8,558.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,5,690.9,929,27,2.9499999999999997,1.27,259.4,66.13699999999999,22.4,11.9,18.93333333333333,996.0,558.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,6,587.5,913,34,3.1,1.45,265.26666666666665,65.23899999999999,22.1,11.6,18.430000000000003,995.0666666666667,596.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,7,589.8,904,8,3.6799999999999993,2.0133333333333336,264.3666666666667,72.60366666666667,19.8,12.2,16.583333333333332,993.3,607.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,8,390.8666666666667,886,21,4.066666666666667,2.1099999999999985,264.46666666666664,76.02133333333333,18.7,12.1,16.450000000000003,995.9666666666667,747.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,9,461.5,912,11,3.0666666666666673,2.4699999999999998,258.6666666666667,69.43900000000001,20.1,12.0,17.543333333333333,997.6333333333333,867.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,10,588.1111111111111,945,5,2.914814814814815,2.548148148148148,269.14814814814815,67.84,23.6,13.9,20.33703703703704,998.4444444444445,863.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,11,735.0333333333333,939,38,3.276666666666667,2.0266666666666677,269.3666666666667,69.04266666666666,23.9,13.4,20.159999999999993,997.0666666666667,811.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,12,741.0666666666667,942,45,3.0099999999999993,1.7700000000000007,270.6,67.46333333333332,23.9,12.9,19.96666666666666,992.7,830.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,13,710.5,955,45,3.076666666666667,1.6033333333333328,269.76666666666665,66.54366666666667,23.6,12.1,19.576666666666668,992.2,867.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,14,727.5666666666667,939,52,3.7533333333333334,1.603333333333334,270.3,69.80199999999999,22.2,12.0,18.893333333333327,995.6,867.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,15,748.7333333333333,944,48,3.87,2.0466666666666677,279.73333333333335,63.896333333333324,24.7,13.8,20.713333333333335,995.8666666666667,869.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,16,706.8,933,33,3.926666666666667,2.1133333333333337,276.6666666666667,65.42966666666668,24.6,13.9,20.206666666666663,992.4333333333333,875.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,7,17,719.7333333333333,935,28,1.6266666666666665,1.8566666666666662,230.43333333333334,60.205,26.8,12.7,21.59666666666667,992.5333333333333,888.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
