,Year,Month,Day,DHI,DNI Max,DNI Min,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
615,2018,9,19,132.0,818,11,443.46153846153845,354.53846153846155,74.07692307692308,648.5384615384615,428.84615384615387,0.0,2.707692307692308,26.46153846153846,73.74692307692308,21.34615384615385,1000.7692307692307
616,2018,9,20,181.36363636363637,409,10,97.45454545454545,225.0909090909091,84.45454545454545,600.0909090909091,429.45454545454544,0.0,2.5,91.63636363636364,67.16636363636364,18.87272727272727,1009.6363636363636
617,2018,9,21,20.666666666666668,315,6,112.0,37.666666666666664,25.333333333333332,136.66666666666666,44.0,0.03333333333333333,3.6,156.66666666666666,88.91666666666667,16.0,1008.0
618,2018,9,22,217.6,522,11,203.2,343.3,71.2,796.6,528.3,0.0,1.29,338.3,56.238,17.55,1007.2
619,2018,9,23,177.25,535,38,262.25,300.6666666666667,62.916666666666664,776.6666666666666,472.4166666666667,0.06666666666666667,1.241666666666667,296.6666666666667,52.22833333333333,16.73333333333333,1010.5
620,2018,9,24,144.125,114,2,27.625,154.375,80.375,696.125,484.25,0.0,1.8000000000000003,91.75,59.411249999999995,15.3125,1019.875
621,2018,9,26,176.6,92,3,52.0,204.8,77.3,629.3,431.7,0.0,4.779999999999999,194.5,86.81300000000002,24.570000000000004,999.5
622,2018,9,27,111.36363636363636,910,18,484.27272727272725,404.8181818181818,63.18181818181818,778.9090909090909,481.6363636363636,0.045454545454545456,1.5454545454545454,75.45454545454545,61.73545454545455,18.7,1006.9090909090909
623,2018,9,28,147.5,533,1,115.1,186.8,65.7,742.9,477.0,0.06999999999999999,2.7199999999999998,137.8,74.86600000000001,15.4,1004.2
624,2018,9,29,101.5,888,68,555.6666666666666,385.5,76.91666666666667,674.6666666666666,425.0,0.0,2.1,300.3333333333333,67.10249999999999,17.374999999999996,1008.0
625,2018,9,30,110.41666666666667,841,38,504.75,369.6666666666667,71.16666666666667,669.3333333333334,415.3333333333333,0.05833333333333333,2.55,276.25,57.48083333333333,15.950000000000001,1012.5
626,2018,10,1,196.625,624,2,125.875,278.5,157.875,613.375,510.875,0.0,3.5125,167.625,81.59,18.1875,1011.75
627,2018,10,2,23.333333333333332,239,5,87.0,34.666666666666664,45.666666666666664,251.0,105.33333333333333,0.0,3.6,134.0,94.17,14.466666666666669,1007.3333333333334
628,2018,10,3,141.0909090909091,753,7,225.0909090909091,260.45454545454544,68.81818181818181,661.2727272727273,401.8181818181818,0.06363636363636363,2.481818181818181,292.45454545454544,79.2009090909091,18.645454545454545,1003.9090909090909
629,2018,10,4,135.25,774,1,140.58333333333334,206.33333333333334,71.25,627.4166666666666,387.75,0.0,3.933333333333333,208.16666666666666,77.99833333333332,21.691666666666666,1000.0
630,2018,10,5,47.0,973,32,773.25,420.3333333333333,47.0,773.25,420.3333333333333,0.05833333333333333,1.025,49.25,52.9025,15.524999999999997,1008.0
631,2018,10,6,105.0,229,1,56.0,115.8,90.2,515.5,342.4,0.0,3.5200000000000005,170.3,75.15599999999999,16.37,1008.3
632,2018,10,7,146.54545454545453,661,39,212.36363636363637,243.0909090909091,72.45454545454545,680.9090909090909,406.1818181818182,0.0,4.327272727272727,245.8181818181818,76.45818181818181,23.181818181818183,1007.7272727272727
633,2018,10,8,43.0,259,1,138.25,62.75,65.5,448.5,198.75,0.0,3.5500000000000003,108.75,85.7625,14.825000000000001,1016.5
634,2018,10,9,125.72727272727273,798,5,367.54545454545456,286.27272727272725,72.36363636363636,688.5454545454545,402.09090909090907,0.0,3.536363636363636,226.45454545454547,76.00636363636364,22.900000000000002,1011.0
635,2018,10,10,66.81818181818181,887,6,625.1818181818181,385.45454545454544,62.90909090909091,716.2727272727273,403.8181818181818,0.0,3.2181818181818187,230.72727272727272,72.98181818181818,24.563636363636363,1003.8181818181819
636,2018,10,12,131.11111111111111,931,6,454.1111111111111,343.1111111111111,58.55555555555556,854.3333333333334,484.3333333333333,0.07777777777777778,1.0555555555555554,314.1111111111111,59.82777777777778,13.366666666666667,988.5555555555555
637,2018,10,13,140.0,493,4,195.71428571428572,208.0,74.42857142857143,779.5714285714286,451.14285714285717,0.0,1.3714285714285714,279.7142857142857,70.91428571428571,9.742857142857142,997.4285714285714
638,2018,10,14,133.36363636363637,706,1,419.54545454545456,320.1818181818182,64.27272727272727,736.5454545454545,401.3636363636364,0.02727272727272727,1.4636363636363638,253.8181818181818,61.03999999999999,11.100000000000001,1008.2727272727273
639,2018,10,15,47.666666666666664,5,1,2.6666666666666665,48.333333333333336,72.0,545.3333333333334,313.0,0.0,3.1999999999999997,184.33333333333334,90.68333333333334,13.299999999999999,1001.3333333333334
640,2018,10,16,52.36363636363637,971,406,807.2727272727273,408.8181818181818,52.36363636363637,807.2727272727273,408.8181818181818,0.0,0.6818181818181819,279.90909090909093,53.905454545454546,9.881818181818181,1003.3636363636364
641,2018,10,17,103.33333333333333,924,10,401.22222222222223,308.1111111111111,65.88888888888889,779.6666666666666,441.3333333333333,0.0,1.3111111111111111,247.55555555555554,61.94222222222223,11.055555555555555,996.5555555555555
642,2018,10,18,47.81818181818182,985,424,819.5454545454545,401.6363636363636,47.81818181818182,819.5454545454545,401.6363636363636,0.03636363636363637,0.5454545454545454,303.45454545454544,41.21727272727273,4.372727272727274,1009.6363636363636
643,2018,10,19,65.18181818181819,903,168,688.4545454545455,369.09090909090907,53.72727272727273,753.3636363636364,382.1818181818182,0.0,1.1909090909090907,221.1818181818182,57.48818181818182,10.436363636363637,1005.4545454545455
644,2018,10,20,86.18181818181819,171,1,31.727272727272727,95.9090909090909,65.36363636363636,694.5454545454545,369.8181818181818,0.0,1.581818181818182,247.8181818181818,69.33727272727273,13.618181818181817,989.6363636363636
645,2018,10,21,110.72727272727273,869,19,378.0,261.90909090909093,52.81818181818182,775.0,383.0,0.07272727272727272,0.7090909090909091,317.45454545454544,56.65090909090909,5.3181818181818175,997.3636363636364
646,2018,10,22,139.7,898,27,299.8,259.0,63.9,765.3,401.6,0.0,0.95,259.8,56.277,6.5,1007.2
647,2018,10,23,143.44444444444446,534,12,150.88888888888889,196.11111111111111,104.66666666666667,627.7777777777778,393.0,0.06666666666666668,1.5666666666666667,171.22222222222223,78.80666666666667,11.277777777777779,1001.3333333333334
648,2018,10,24,116.0,291,6,111.2,151.9,60.1,674.1,342.4,0.04,1.1199999999999999,326.1,70.80700000000002,7.369999999999999,1001.8
649,2018,10,25,146.22222222222223,512,18,225.11111111111111,251.77777777777777,54.22222222222222,806.3333333333334,416.22222222222223,0.0,0.7888888888888889,302.6666666666667,54.28444444444444,5.666666666666667,1003.2222222222222
650,2018,10,26,90.54545454545455,930,21,419.8181818181818,282.45454545454544,51.09090909090909,727.0,350.27272727272725,0.05454545454545456,1.1363636363636365,299.3636363636364,48.47636363636364,5.2272727272727275,1005.7272727272727
651,2018,10,27,28.666666666666668,228,1,135.0,48.333333333333336,44.666666666666664,497.0,176.66666666666666,0.10000000000000002,2.2333333333333334,51.333333333333336,90.45333333333333,4.8,993.6666666666666
652,2018,10,28,98.33333333333333,263,1,60.111111111111114,109.33333333333333,59.22222222222222,621.6666666666666,313.44444444444446,0.044444444444444446,1.8111111111111111,200.22222222222223,91.81222222222223,5.944444444444445,993.0
653,2018,10,29,87.66666666666667,164,1,80.0,112.83333333333333,71.16666666666667,525.8333333333334,297.1666666666667,0.0,1.5833333333333333,246.83333333333334,90.89666666666666,8.166666666666666,993.3333333333334
654,2018,10,30,115.9090909090909,835,77,330.09090909090907,212.8181818181818,47.72727272727273,718.4545454545455,334.27272727272725,0.0,1.0090909090909095,304.72727272727275,66.33727272727273,5.754545454545454,1002.0909090909091
655,2018,10,31,94.9090909090909,687,3,264.27272727272725,207.63636363636363,52.72727272727273,659.4545454545455,317.1818181818182,0.045454545454545456,1.9272727272727275,182.72727272727272,61.156363636363636,9.236363636363636,1002.4545454545455
656,2018,11,1,74.33333333333333,7,1,4.666666666666667,76.0,85.33333333333333,376.3333333333333,233.33333333333334,0.03333333333333333,3.0,21.0,91.17,14.066666666666668,997.3333333333334
657,2018,11,2,1.0,5,5,5.0,1.0,9.0,47.0,9.0,0.0,4.0,192.0,96.53,16.3,992.0
658,2018,11,3,63.166666666666664,549,8,234.33333333333334,127.83333333333333,42.166666666666664,567.8333333333334,247.0,0.08333333333333333,1.5,247.16666666666666,75.77499999999999,9.8,994.3333333333334
659,2018,11,4,73.0,916,79,522.1818181818181,278.09090909090907,43.54545454545455,696.1818181818181,311.6363636363636,0.09090909090909091,1.0090909090909088,311.54545454545456,54.74363636363637,7.209090909090909,1017.9090909090909
660,2018,11,5,2.5,10,2,6.0,2.5,8.5,72.0,9.5,0.0,1.85,75.5,91.445,4.55,1015.0
661,2018,11,6,13.333333333333334,123,3,47.666666666666664,20.333333333333332,29.666666666666668,354.0,87.33333333333333,0.0,2.6333333333333333,127.0,95.39999999999999,9.299999999999999,1000.0
662,2018,11,7,57.0,906,29,570.7272727272727,282.6363636363636,46.72727272727273,665.3636363636364,297.72727272727275,0.0,1.1090909090909091,244.0909090909091,71.24727272727274,11.59090909090909,999.1818181818181
663,2018,11,8,50.54545454545455,919,29,649.4545454545455,296.09090909090907,48.72727272727273,665.0,299.1818181818182,0.0,0.7818181818181817,293.09090909090907,63.36363636363635,7.472727272727273,1008.8181818181819
664,2018,11,9,56.666666666666664,248,26,128.0,79.66666666666667,33.0,439.0,133.33333333333334,0.03333333333333333,0.9,52.0,85.99666666666667,2.1333333333333333,1013.6666666666666
665,2018,11,10,88.66666666666667,812,4,380.77777777777777,232.77777777777777,49.333333333333336,665.1111111111111,317.0,0.08888888888888888,0.6000000000000001,277.8888888888889,69.38555555555556,3.0777777777777775,997.5555555555555
666,2018,11,11,49.09090909090909,920,23,599.6363636363636,280.72727272727275,46.54545454545455,654.6363636363636,287.8181818181818,0.018181818181818184,0.790909090909091,290.6363636363636,65.12636363636362,1.845454545454546,1010.5454545454545
667,2018,11,12,80.5,859,24,495.2,269.8,57.5,670.8,306.0,0.09,0.9400000000000001,214.8,66.301,4.710000000000001,1014.0
668,2018,11,13,3.0,16,16,16.0,3.0,6.0,39.0,5.0,0.0,1.7,305.0,92.64,2.5,997.0
669,2018,11,14,61.8,967,57,582.8,286.6,50.2,735.1,316.6,0.07999999999999999,0.35,306.3,55.898,-2.25,1013.0
670,2018,11,15,131.16666666666666,61,10,34.666666666666664,143.5,48.0,836.5,369.6666666666667,0.016666666666666666,0.6666666666666666,110.5,43.64166666666667,-2.4499999999999997,1019.3333333333334
671,2018,11,16,81.8,559,3,167.7,136.8,52.3,678.7,296.2,0.04,1.3399999999999999,265.5,92.963,0.48999999999999994,988.0
672,2018,11,17,122.33333333333333,338,8,113.88888888888889,164.22222222222223,65.55555555555556,682.1111111111111,318.55555555555554,0.0,1.011111111111111,268.6666666666667,88.98888888888888,2.6333333333333333,1005.1111111111111
673,2018,11,18,104.5,560,11,194.8,167.0,67.8,625.3,288.4,0.1,1.0900000000000003,275.0,72.11099999999999,0.68,1013.0
674,2018,11,19,111.0,357,4,114.77777777777777,158.11111111111111,106.0,495.55555555555554,291.0,0.07777777777777778,1.4777777777777776,272.3333333333333,93.33888888888889,1.7444444444444442,1004.3333333333334
675,2018,11,20,108.5,178,3,70.5,132.5,106.3,435.7,264.8,0.0,1.2899999999999998,133.1,94.189,1.1999999999999997,997.0
676,2018,11,21,115.22222222222223,515,93,251.66666666666666,194.44444444444446,81.11111111111111,667.0,309.8888888888889,0.011111111111111112,0.8888888888888888,227.11111111111111,85.32000000000001,0.8333333333333334,999.0
677,2018,11,22,56.55555555555556,923,400,757.3333333333334,317.44444444444446,58.333333333333336,825.7777777777778,334.3333333333333,0.0,0.19999999999999998,311.44444444444446,63.676666666666655,-11.2,1013.4444444444445
678,2018,11,23,52.333333333333336,942,497,809.6666666666666,322.3333333333333,52.111111111111114,820.8888888888889,325.0,0.09999999999999999,0.3444444444444444,259.3333333333333,57.791111111111114,-5.622222222222224,1017.1111111111111
679,2018,11,24,104.5,669,236,427.875,250.5,66.125,745.125,328.625,0.037500000000000006,1.0499999999999998,205.75,75.54625,0.625,1005.5
680,2018,11,25,107.33333333333333,639,53,273.44444444444446,183.11111111111111,65.22222222222223,695.4444444444445,297.6666666666667,0.1444444444444445,1.211111111111111,333.22222222222223,94.5988888888889,4.4,995.7777777777778
681,2018,11,26,108.25,308,18,162.75,164.75,84.625,639.5,308.0,0.0,1.6125000000000003,102.5,93.5225,3.2125000000000004,997.5
682,2018,11,27,106.44444444444444,417,54,228.22222222222223,183.0,53.55555555555556,704.3333333333334,286.0,0.0,1.1888888888888889,271.77777777777777,92.26444444444444,1.8222222222222224,978.1111111111111
683,2018,11,28,111.11111111111111,445,60,212.22222222222223,187.33333333333334,51.888888888888886,722.4444444444445,286.6666666666667,0.0,0.9444444444444444,286.8888888888889,86.10111111111112,1.5777777777777777,980.2222222222222
684,2018,11,29,90.66666666666667,124,1,48.0,100.55555555555556,46.0,758.6666666666666,288.22222222222223,0.0,0.7999999999999999,311.22222222222223,80.92555555555555,1.9888888888888892,995.8888888888889
685,2018,11,30,83.0,86,3,30.285714285714285,89.85714285714286,59.285714285714285,667.1428571428571,281.7142857142857,0.08571428571428572,1.2285714285714289,290.42857142857144,76.89142857142858,1.4142857142857144,1002.5714285714286
686,2018,12,1,70.66666666666667,912,81,515.2222222222222,244.55555555555554,47.111111111111114,759.5555555555555,287.1111111111111,0.12222222222222223,0.6222222222222222,189.22222222222223,74.24222222222221,1.822222222222222,1007.7777777777778
687,2018,12,2,56.166666666666664,341,9,112.5,77.16666666666667,44.5,608.6666666666666,219.33333333333334,0.05000000000000001,2.85,138.5,95.61666666666667,3.1666666666666665,994.5
688,2018,12,3,77.44444444444444,675,12,272.0,161.88888888888889,52.888888888888886,680.2222222222222,270.0,0.0,1.222222222222222,259.77777777777777,88.78000000000002,5.933333333333334,988.0
689,2018,12,4,52.111111111111114,936,22,630.8888888888889,263.77777777777777,42.22222222222222,788.4444444444445,285.3333333333333,0.09999999999999999,0.38888888888888884,323.3333333333333,60.906666666666666,-1.011111111111111,999.1111111111111
690,2018,12,5,88.22222222222223,844,32,395.8888888888889,210.66666666666666,44.77777777777778,763.4444444444445,279.8888888888889,0.022222222222222223,0.5,311.77777777777777,54.90888888888889,-1.222222222222222,1003.4444444444445
691,2018,12,6,101.375,338,27,116.5,135.375,56.25,660.375,259.625,0.0125,0.675,254.125,72.16999999999999,-0.5125000000000002,1004.125
692,2018,12,7,45.44444444444444,935,321,765.8888888888889,281.6666666666667,45.333333333333336,776.4444444444445,282.3333333333333,0.0,0.3,300.6666666666667,59.91,-1.6222222222222225,1010.4444444444445
693,2018,12,8,60.44444444444444,904,80,599.3333333333334,255.66666666666666,51.77777777777778,728.8888888888889,276.0,0.022222222222222223,0.3555555555555555,300.77777777777777,53.91888888888889,-4.800000000000001,1015.4444444444445
694,2018,12,9,85.22222222222223,856,68,381.77777777777777,197.33333333333334,50.111111111111114,732.7777777777778,273.55555555555554,0.011111111111111112,0.4444444444444444,233.44444444444446,68.37222222222222,-1.8555555555555554,1012.4444444444445
695,2018,12,10,46.0,919,188,739.5555555555555,274.44444444444446,46.0,758.6666666666666,276.0,0.022222222222222223,0.3555555555555555,340.6666666666667,66.12666666666667,-1.0666666666666669,1005.1111111111111
696,2018,12,11,46.44444444444444,904,279,727.7777777777778,269.22222222222223,46.44444444444444,736.2222222222222,269.77777777777777,0.06666666666666668,0.4555555555555555,238.44444444444446,63.396666666666675,-1.9999999999999991,1003.7777777777778
697,2018,12,12,73.55555555555556,857,170,553.1111111111111,233.0,53.22222222222222,697.1111111111111,268.44444444444446,0.022222222222222223,0.42222222222222217,326.55555555555554,69.76666666666667,-1.6111111111111112,1004.1111111111111
698,2018,12,13,75.0,695,1,158.16666666666666,118.16666666666667,68.33333333333333,604.3333333333334,258.6666666666667,0.016666666666666666,0.9,110.66666666666667,68.66833333333332,-5.216666666666668,1017.0
699,2018,12,14,87.66666666666667,413,2,90.11111111111111,104.44444444444444,58.55555555555556,626.1111111111111,250.11111111111111,0.0,1.177777777777778,166.11111111111111,88.95555555555555,1.1222222222222222,1015.7777777777778
700,2018,12,15,94.55555555555556,583,5,182.44444444444446,158.88888888888889,47.44444444444444,691.4444444444445,257.6666666666667,0.044444444444444446,1.0,235.77777777777777,94.64888888888889,4.499999999999999,1008.0
701,2018,12,16,61.2,60,3,29.6,66.6,45.0,598.0,208.6,0.1,1.92,62.4,90.106,1.6199999999999999,1003.8
