,UMASS Amherst - Computer Science null,UMASS Amherst - Fine Arts Center null,UMASS Amherst - Recreation Center null,Day,Month,Year,Date,DHI,DNI Max,DNI Min,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
39,,,,,,,,151.1,634,54,364.5,288.5,134.7,593.5,384.8,1.31,0.5689,313.54,91.81299999999999,-4.1,984.0
40,,,,,,,,88.3,907,269,715.2,395.3,86.3,756.6,402.0,0.28,0.6076,262.12,88.257,-3.3,990.0
41,,,,,,,,173.875,457,7,231.0,281.375,151.5,602.375,438.75,0.2375,1.00825,145.4,99.46625,0.75,975.0
42,,,,,,,,153.1,600,26,301.3,278.5,127.8,630.3,402.2,0.8700000000000001,0.5876,299.62,92.306,-3.3,980.0
43,,,,,,,,76.5,973,533,832.7,432.4,76.5,832.7,432.4,0.7699999999999999,0.3703,300.66,87.619,-3.6,990.0
44,,,,,,,,118.7,869,283,596.7,367.2,92.8,721.2,409.3,0.4400000000000001,1.2402000000000002,212.22000000000003,93.927,0.4,985.0
45,,,,,,,,128.9,874,28,461.4,333.1,85.5,785.0,427.1,0.4800000000000001,0.8737999999999999,272.51000000000005,96.36200000000001,5.4,990.0
46,,,,,,,,91.8,927,465,736.5,404.1,79.1,834.9,447.7,0.6300000000000001,0.3905,342.2800000000001,69.93800000000002,2.3,1000.0
47,,,,,,,,115.3,747,116,524.3,357.1,115.9,716.7,433.6,0.3499999999999999,0.7889999999999999,160.83,67.618,1.9,1005.0
48,,,,,,,,112.1,739,240,594.7,387.2,116.0,669.2,426.8,0.30999999999999994,1.2683,226.62,83.06700000000002,8.2,994.0
49,,,,,,,,134.8,792,247,607.1,419.4,134.8,607.1,419.4,0.54,1.6902,210.18,88.08,11.7,990.0
50,,,,,,,,114.22222222222223,873,37,578.7777777777778,401.88888888888886,86.77777777777777,726.7777777777777,441.0,0.6,2.4515555555555557,193.42222222222225,85.68777777777777,15.777777777777779,990.0
51,,,,,,,,134.2,647,18,316.0,219.2,81.6,628.0,352.2,0.72,2.1260000000000003,161.73999999999995,94.74799999999999,13.6,986.0
52,,,,,,,,165.11111111111111,785,9,339.3333333333333,344.5555555555556,87.44444444444444,820.7777777777777,492.33333333333326,0.9444444444444444,0.4363333333333334,293.1666666666667,60.84222222222221,0.6666666666666666,993.3333333333335
53,,,,,,,,90.2,901,508,741.8,442.7,84.2,772.0,451.3,0.6699999999999999,0.6771999999999998,232.35000000000005,64.85600000000001,5.5,1008.0
54,,,,,,,,141.7,834,37,460.7,383.0,114.1,629.3,430.5,0.27,1.4293,164.13000000000005,78.49300000000002,8.4,1006.0
55,,,,,,,,223.5,166,1,83.5,273.0,140.0,732.5,593.5,0.75,3.1925,192.15,99.825,12.5,980.0
56,,,,,,,,91.0,973,179,722.25,451.25,65.625,802.375,477.5,1.2,0.449875,287.275,54.36124999999999,-0.5,986.25
57,,,,,,,,91.2,1003,277,764.6,465.4,71.5,867.1,496.9,0.63,0.3249,291.34,43.262,-0.7,1000.0
58,,,,,,,,71.0,1011,277,824.8181818181819,461.9090909090909,80.0,849.4545454545455,485.9090909090909,0.9363636363636364,0.16127272727272726,311.69090909090914,43.11545454545455,-8.636363636363637,1010.0
59,,,,,,,,58.0,1035,243,814.5833333333335,442.5,58.0,814.5833333333335,442.5,0.75,0.12433333333333335,330.69999999999993,39.770833333333336,-5.416666666666668,1010.0
